Responden	JK	Pekerjaan	Partai	Paselon
27	P	Wiraswasta	DEMOKRAT	2
32	L	Petani	DEMOKRAT	2
50	P	IRT	DEMOKRAT	2
52	P	IRT	DEMOKRAT	2
53	L	Wiraswasta	DEMOKRAT	1
58	P	IRT	DEMOKRAT	2
65	L	Wiraswasta	DEMOKRAT	1
68	L	Wiraswasta	DEMOKRAT	2
80	P	Wiraswasta	DEMOKRAT	2
84	P	Wiraswasta	DEMOKRAT	2
8	P	Wiraswasta	GOLKAR	1
11	L	Wiraswasta	GOLKAR	1
24	L	Wiraswasta	GOLKAR	1
25	L	Wiraswasta	GOLKAR	1
26	P	Wiraswasta	GOLKAR	1
33	P	IRT	GOLKAR	2
37	L	Wiraswasta	GOLKAR	1
38	P	IRT	GOLKAR	2
39	P	IRT	GOLKAR	2
73	P	IRT	GOLKAR	2
74	P	Wiraswasta	GOLKAR	1
75	P	IRT	GOLKAR	2
1	L	Wiraswasta	PDIP	1
2	P	Wiraswasta	PDIP	2
4	L	Wiraswasta	PDIP	1
6	P	Wiraswasta	PDIP	2
9	L	Wiraswasta	PDIP	1
10	P	IRT	PDIP	1
15	P	IRT	PDIP	2
16	P	IRT	PDIP	2
18	L	Karyawan	PDIP	1
19	L	Wiraswasta	PDIP	1
22	P	Wiraswasta	PDIP	2
29	L	Wiraswasta	PDIP	1
30	P	IRT	PDIP	2
34	L	Wiraswasta	PDIP	1
35	P	IRT	PDIP	1
43	P	IRT	PDIP	2
46	P	IRT	PDIP	1
51	P	IRT	PDIP	2
70	P	Wiraswasta	PDIP	2
83	P	IRT	PDIP	1
5	L	Wiraswasta	PKS	2
23	L	Wiraswasta	PKS	2
31	P	IRT	PKS	2
87	P	IRT	PKS	2
12	L	Wiraswasta	PPP	2
17	L	Karyawan	PPP	1
20	P	IRT	PPP	1
28	L	Wiraswasta	PPP	2
41	P	Wiraswasta	PPP	2
42	P	IRT	PPP	2
44	P	IRT	PPP	2
62	P	IRT	PPP	2
67	P	IRT	PPP	2
71	L	Wiraswasta	PPP	2
72	P	Wiraswasta	PPP	2
78	L	Wiraswasta	PPP	2
79	L	Karyawan	PPP	2
82	P	IRT	PPP	2
85	P	Karyawan	PPP	2
86	P	IRT	PPP	2
