Responden	JK	Pekerjaan	Partai	Paselon
27	P	Wiraswasta	DEMOKRAT	2
32	L	Petani	DEMOKRAT	2
50	P	IRT	DEMOKRAT	2
52	P	IRT	DEMOKRAT	2
53	L	Wiraswasta	DEMOKRAT	1
58	P	IRT	DEMOKRAT	2
65	L	Wiraswasta	DEMOKRAT	1
68	L	Wiraswasta	DEMOKRAT	2
80	P	Wiraswasta	DEMOKRAT	2
84	P	Wiraswasta	DEMOKRAT	2
8	P	Wiraswasta	GOLKAR	1
11	L	Wiraswasta	GOLKAR	1
24	L	Wiraswasta	GOLKAR	1
25	L	Wiraswasta	GOLKAR	1
26	P	Wiraswasta	GOLKAR	1
33	P	IRT	GOLKAR	2
37	L	Wiraswasta	GOLKAR	1
38	P	IRT	GOLKAR	2
39	P	IRT	GOLKAR	2
73	P	IRT	GOLKAR	2
74	P	Wiraswasta	GOLKAR	1
75	P	IRT	GOLKAR	2
5	L	Wiraswasta	PKS	2
23	L	Wiraswasta	PKS	2
31	P	IRT	PKS	2
87	P	IRT	PKS	2
